EntityID,AddressLine,Locality,AdminDistrict,PostalCode,CountryRegion,Phone,Manager,Latitude,Longitude
1336033,15 HARRIET ST,San Francisco,CA,28853,United States,,,37.77917621,-122.4072218
1336038,786 MINNA ST,San Francisco,CA,28853,United States,,,37.77622276,-122.4139073
1336041,1119 MISSION ST,San Francisco,CA,28853,United States,,,37.77865151,-122.4112296
1336016,25 RUSS ST,San Francisco,CA,28853,United States,,,37.77946373,-122.408868
1336022,57 COLUMBIA SQUARE ST,San Francisco,CA,28853,United States,,,37.77738315,-122.4054582
1336028,1398 FOLSOM ST,San Francisco,CA,28853,United States,,,37.77309677,-122.4127451
1336020,634 CLAY ST,San Francisco,CA,28860,United States,,,37.794793,-122.4038639
1336018,732 BRANNAN ST,San Francisco,CA,28853,United States,,,37.77423023,-122.4021022
1336035,938 HARRISON ST,San Francisco,CA,,United States,,,0,0
1336017,1455 03RD ST,San Francisco,CA,310,United States,,,37.77110994,-122.38919
1336025,45 DORE ST,San Francisco,CA,28853,United States,,,37.77407093,-122.412904
1336015,Assessors Block /Lot,San Francisco,CA,,United States,,,0,0
1336682,860 BROADWAY,San Francisco,CA,308,United States,,,37.79757899,-122.4114399
1340313,201 BERRY ST,San Francisco,CA,310,United States,,,37.77556615,-122.3932798
1340309,555 MISSION ROCK ST,San Francisco,CA,,United States,,,0,0
1336745,525 PHELPS ST,San Francisco,CA,58,United States,,,37.74176065,-122.389098
1336746,220 RANKIN ST,San Francisco,CA,58,United States,,,37.74646979,-122.3915152
1336683,409 ILLINOIS ST,San Francisco,CA,,United States,,,0,0
1336754,1000 EVANS AVE,San Francisco,CA,58,United States,,,37.73772687,-122.3765729
1336681,250 BROADWAY,San Francisco,CA,28860,United States,,,37.79875494,-122.4017988
1336684,Assessors Block 4228/Lot080,San Francisco,CA,28856,United States,,,37.75367998,-122.3904145
1336732,2920 03RD ST,San Francisco,CA,28856,United States,,,37.75197163,-122.3879655
1336752,1575 BURKE AVE,San Francisco,CA,58,United States,,,37.74417845,-122.3867159
1336674,Assessors Block 3788/Lot002,San Francisco,CA,28856,United States,,,37.78107468,-122.3917057
1336766,220 NEWHALL ST,San Francisco,CA,58,United States,,,37.74301425,-122.3844602
1336740,645 BRYANT ST,San Francisco,CA,28856,United States,,,37.77826658,-122.3988359
1336679,2323 CESAR CHAVEZ ST,San Francisco,CA,58,United States,,,37.74880138,-122.4005525
934585,620 YORK ST,San Francisco,CA,28859,United States,,,37.76157185,-122.4094447
1336743,151 EXECUTIVE PARK BLVD,San Francisco,CA,,United States,,,0,0
1340319,409 ILLINOIS ST,San Francisco,CA,,United States,,,0,0
1336759,Assessors Block 4645/Lot015,San Francisco,CA,58,United States,,,37.73213495,-122.3753981
1340305,516 TOWNSEND ST,San Francisco,CA,28853,United States,,,37.77344521,-122.4004826
1336734,201 ALABAMA ST,San Francisco,CA,28853,United States,,,37.76779784,-122.4120963
1336744,2111 LANE ST,San Francisco,CA,58,United States,,,37.72878796,-122.3922948
1336748,3801 03RD ST,San Francisco,CA,58,United States,,,37.74102621,-122.3877929
1336761,2525 MARIN ST,San Francisco,CA,58,United States,,,37.74761607,-122.401977
1336677,435 CHINA BASIN ST,San Francisco,CA,,United States,,,0,0
1336762,1200 MISSISSIPPI ST,San Francisco,CA,28856,United States,,,37.75169104,-122.3943742
1382718,1 MONTGOMERY ST,San Francisco,CA,28854,United States,,,37.78924953,-122.4024186
1336678,Assessors Block 8720/Lot009,San Francisco,CA,310,United States,,,37.77215224,-122.387743
1340306,71 WILLIAMS AVE,San Francisco,CA,58,United States,,,37.72922334,-122.3946131
1336680,2200 CESAR CHAVEZ ST,San Francisco,CA,28856,United States,,,37.75004883,-122.3996721
1336756,2020 EVANS AVE,San Francisco,CA,,United States,,,0,0
1336739,722 BRANNAN ST,San Francisco,CA,28853,United States,,,37.77444911,-122.4020872
1336765,330 NEWHALL ST,San Francisco,CA,58,United States,,,37.74298987,-122.3867733
1336749,2323 CESAR CHAVEZ ST,San Francisco,CA,58,United States,,,37.74880138,-122.4005525
1336764,190 NAPOLEON ST,San Francisco,CA,58,United States,,,37.74758628,-122.3988657
1336736,2190 CESAR CHAVEZ ST,San Francisco,CA,28856,United States,,,37.75023688,-122.397818
1336729,500 SELBY ST,San Francisco,CA,58,United States,,,37.74449821,-122.3969554
1340310,1799 03RD ST,San Francisco,CA,310,United States,,,37.76799555,-122.3875494
1336192,1800 MISSION ST,San Francisco,CA,28853,United States,,,37.76781718,-122.4205753
1340320,975 INDIANA ST,San Francisco,CA,28856,United States,,,37.75816994,-122.3909006
1340318,599 08TH ST,San Francisco,CA,28853,United States,,,37.77186823,-122.4056576
1340304,Assessors Block 8720/Lot008,San Francisco,CA,310,United States,,,37.77115804,-122.3869313
1340317,950 BRYANT ST,San Francisco,CA,28853,United States,,,37.77361098,-122.4059584
1340312,30 BEALE ST,San Francisco,CA,28855,United States,,,37.79177708,-122.3971325
1340307,1150 25TH ST,San Francisco,CA,28856,United States,,,37.75313904,-122.3902468
1340308,435 CHINA BASIN ST,San Francisco,CA,,United States,,,0,0
1435110,2535 TAYLOR ST,San Francisco,CA,308,United States,,,37.80588535,-122.4159452
1338989,250 04TH ST,San Francisco,CA,28853,United States,,,37.78236012,-122.402096
1338489,75 HOWARD ST,San Francisco,CA,28855,United States,,,37.79155786,-122.3916715
